SuraID,SuraName,Number of Verses,With BigDataSet
1,الفاتحة,7,1
2,البقرة,286,8
3,آل عمران,200,294
4,النساء,176,494
5,المائدة,120,670
6,الأنعام,165,790
7,الأعراف,206,955
8,الأنفال,75,1161
9,التوبة,129,1236
10,يونس,109,1365
11,هود,123,1474
12,يوسف,111,1597
13,الرعد,43,1708
14,إبراهيم,52,1751
15,الحجر,99,1803
16,النحل,128,1902
17,الإسراء,111,2030
18,الكهف,110,2141
19,مريم,98,2251
20,طه,135,2349
21,الأنبياء,112,2484
22,الحج,78,2596
23,المؤمنون,118,2674
24,النور,64,2792
25,الفرقان,77,2856
26,الشعراء,227,2933
27,النمل,93,3160
28,القصص,88,3253
29,العنكبوت,69,3341
30,الروم,60,3410
31,لقمان,34,3470
32,السجدة,30,3504
33,الأحزاب,73,3534
34,سبأ,54,3607
35,فاطر,45,3661
36,يس,83,3706
37,الصافات,182,3789
38,ص,88,3971
39,الزمر,75,4059
40,غافر,85,4134
41,فصلت,54,4219
42,الشورى,53,4273
43,الزخرف,89,4326
44,الدخان,59,4415
45,الجاثية,37,4474
46,الأحقاف,35,4511
47,محمد,38,4546
48,الفتح,29,4584
49,الحجرات,18,4613
50,ق,45,4631
51,الذاريات,60,4676
52,الطور,49,4736
53,النجم,62,4785
54,القمر,55,4847
55,الرحمن,78,4902
56,الواقعة,96,4980
57,الحديد,29,5076
58,المجادلة,22,5105
59,الحشر,24,5127
60,الممتحنة,13,5151
61,الصف,14,5164
62,الجمعة,11,5178
63,المنافقون,11,5189
64,التغابن,18,5200
65,الطلاق,12,5218
66,التحريم,12,5230
67,الملك,30,5242
68,القلم,52,5272
69,الحاقة,52,5324
70,المعارج,44,5376
71,نوح,28,5420
72,الجن,28,5448
73,المزمل,20,5476
74,المدثر,56,5496
75,القيامة,40,5552
76,الإنسان,31,5592
77,المرسلات,50,5623
78,النبأ,40,5673
79,النازعات,46,5713
80,عبس,42,5759
81,التكوير,29,5801
82,الإنفطار,19,5830
83,المطففين,36,5849
84,الإنشقاق,25,5885
85,البروج,22,5910
86,الطارق,17,5932
87,الأعلى,19,5949
88,الغاشية,26,5968
89,الفجر,30,5994
90,البلد,20,6024
91,الشمس,15,6044
92,الليل,21,6059
93,الضحى,11,6080
94,الشرح,8,6091
95,التين,8,6099
96,العلق,19,6107
97,القدر,5,6126
98,البينة,8,6131
99,الزلزلة,8,6139
100,العاديات,11,6147
101,القارعة,11,6158
102,التكاثر,8,6169
103,العصر,3,6177
104,الهمزة,9,6180
105,الفيل,5,6189
106,قريش,4,6194
107,الماعون,7,6198
108,الكوثر,3,6205
109,الكافرون,6,6208
110,النصر,3,6214
111,المسد,5,6217
112,الإخلاص,4,6222
113,الفلق,5,6226
114,الناس,6,6231

